text,label
Hiszpania: ligowa wpadka Realu MadrytSiedem goli w szalonym meczu we Florencji! Napoli pokonało Violę w pierwszym spotkaniu sezonu,__label__1
Tokio 2020: luksusowy pakiet olimpijski za... 60 tys. dol.,__label__1
PKO Ekstraklasa: znakomite widowisko z pięcioma golami Lech minimalnie lepszy od Rakowa,__label__1
Oceniamy Polki po meczu z Portugalią. Weteranki najlepsze,__label__1
Hubert Hurkacz - Benoit Paire (na żywo),__label__1
Polki zdominowały Portugalki i wygrały drugi mecz Euro,__label__1
Zaczyna się 52. Bohdan Tomaszewski Cup. Historia polskiego tenisa,__label__1
Hurkacz za wygraną zarobił fortunę. W US Open do zgarnięcia będzie znacznie więcej,__label__1
Świetny mecz w Bełchatowie. Gytkjaer przełamał się na wyjeździe a Lech pokonał Raków,__label__1
ME siatkarek: drugie zwycięstwo Turczynek,__label__1
WTA w Nowym Jorku: świetny finał życiowy sukces Magdy Linette,__label__1
Wojciech Fibak: Życzę Hubertowi by pobił moje rekordy. A Magdzie by konsekwentnie szła dalej!,__label__1
Hurkacz po wygraniu pierwszego turnieju ATP: Wspaniały tydzień. Czuję się super ale nie mam czasu świętować,__label__1
Lewandowski sam rozstrzelał Schalke. Wyśmienity początek sezonu w wykonaniu Polaka!,__label__1
Kolarze CCC udanie rozpoczęli Vueltę. Polska grupa szósta w czasówce najszybsza Astana,__label__1
ME: Finki bliskie sprawienia niespodzianki. Urwały punkt Turcji,__label__1
Mistrzostwa Europy siatkarek: błyskawiczna wygrana Polek,__label__1
Wielka bitwa w biegu na 400 metrów.  Iga Baumgart-Witan po raz drugi zdobyła mistrzostwo Polski!,__label__1
Amerykanie piszą o monumentalnym dniu polskiego tenisa,__label__1
Dwa gole niesamowitego Salaha. Liverpool pokonał Arsenal w hicie 3. kolejki Premier League,__label__1
Robert Kubica przyciągnął tłumy kibiców na Verva Street Racing,__label__1
Skarb Kibica Serie A. Analizy transfery Polacy... to wszystko i wiele więcej już dziś z „Przeglądem Sportowym”,__label__1
Hubert Hurkacz nie przyjechał do USA by wygrać. Cel był inny,__label__1
Vuelta a Espana. Grupa CCC szósta na I etapie,__label__1
Portugalki debiutują w mistrzostwach Europy i mają nadzieję że awans będzie kamieniem milowym,__label__1
Lewandowski w swoim stylu pokonał bramkarza,__label__1
Pavlic zmarnował życiową szansę!,__label__1
Anglia: dwa gole Mohameda Salaha zwycięstwo Liverpoolu w hicie z Arsenalem,__label__1
Napoli pokonało Fiorentinę w szalonym meczu Serie A,__label__1
ACF Fiorentina - SSC Napoli: skrót meczu,__label__1
Amerykanie pod wrażeniem Hurkacza i Linette. „Monumentalny dzień polskiego tenisa”,__label__1
Kolejny gol Grzegorza Krychowiaka remis Lokomotiwu,__label__1
ATP w Winston-Salem: historyczny triumf Huberta Hurkacza,__label__1
Kolejny gol Grzegorza Krychowiaka remis Lokomotiwu,__label__1
ATP w Winston-Salem: historyczny triumf Huberta HurkaczaPiast chce 2 mln euro za Parzyszka! Włoskie Frosinone pobije swój rekord transferowy?,__label__1
Młode wilki i powrót Kuby czyli powołania na wrześniowe mecze reprezentacji. Czym zaskoczy Brzęczek?,__label__1
Vital Heynen podał szeroki skład reprezentacji na EURO. Jest powrót Kurka i Kochanowskiego,__label__1
Szybko reakcja trenera Milanu po porażce. Zapowiada zmianę taktyki Piątkowi ma się grać lepiej,__label__1
Wielka forma Lewandowskiego krytyka Glika i Piątka czyli jak Polacy radzili sobie w weekend,__label__1
Biało-czerwoni poznali deblowych rywali w US Open. Czy Łukasz Kubot znów zagra w finale?,__label__1
"Misja futbol" - program Michała Pola,__label__1
Toruń pożegnał się z honorem. Anioły walczyły do końca! [galeria],__label__1
Czworo polskich singlistów wystąpi pierwszego dnia US Open,__label__1
Koszmarne upadki przyczyną kryzysu Buczkowskiego!,__label__1
Nowakowski: Ryzyko nie może paraliżować piłkarzy,__label__1
Trener AC Milan zapowiada zmianę taktyki,__label__1
Mędrzyk: Miałam gęsią skórkę,__label__1
Wszystkie oczy na aniołki,__label__1
Koniec zamieszania,__label__1
Michniewicz: Fila i Płacheta to moi pewniacy,__label__1
Wszystkie oczy na aniołki. Polskie biegaczki skradły show podczas mistrzostw Polski w Radomiu,__label__1
Lakers nie dla Gortata. Miejsce zabrał mu stary znajomy z Orlando Magic,__label__1
Czworo polskich singlistów wystąpi pierwszego dnia US Open. Najszybciej zobaczymy Świątek potem Fręch Hurkacza i Majchrzaka,__label__1
W mistrzostwach Europy czas na sąsiadki z Ukrainy. Czy zagrożą biało-czerwonym?,__label__1
Siatkówka mocno się zmieniła. Polki z IO w Tokio wracały kilka dni a trener po biustonosze jeździł aż do Łodzi,__label__1
PSG wraca na zwycięską ścieżkę. Dwa gole Choupo-Motinga pomogły pokonać Tuluzę,__label__1
Pięta achillesowa hiszpańskich sędziów. Wytyczne dla arbitrów doprowadziły do ogólnonarodowej debaty,__label__1
Perfekcyjny rzut wolny i gol Lewandowskiego,__label__1
Piast podnosi stawkę napastnik krok od transferu,__label__1
Hubert Hurkacz z potężnym sponsorem,__label__1
Trener AC Milan zapowiada zmianę taktyki,__label__1
Diamentowa Liga: Zurych gospodarzem finałowych zawodów w 2020 i 2021 roku,__label__1
Konrad Bukowiecki: to był jeden z lepszych ruchów w mojej karierze,__label__1
MŚ w wioślarstwie: nieudany występ kobiecej dwójki podwójnej,__label__1
Grupa Lotos wspomoże Huberta Hurkacza,__label__1
Piast chce 2 mln euro za Parzyszka. Czy Włosi pobiją transferowy rekord?,__label__1
Beckhamowie bawili się na jachcie Eltona Johna. "Becks" nie szczędził czułości żonie,__label__1
Porażka najlepszego zawodnika na świecie. Wytłumaczył co się stało,__label__1
15. Bieg po Nowe Życie po królewsku,__label__1
Polacy za granicą: wielka forma Lewandowskiego krytyka Glika i Piątka,__label__1
Trener "Aniołków" zachwycony poziomem "mamy się czym pochwalić",__label__1
Młode wilki i powrót Kuby,__label__1
"Misja futbol" - program Michała Pola,__label__1
Udinese Calcio - AC Milan: skrót meczu,__label__1
Udinese Calcio - AC Milan: zwycięski gol Rodrigo BecaoPortugalki bez szans. Polskie siatkarki wygrały 3:0!Portugalki bez szans. Polskie siatkarki wygrały 3:0!,__label__1
Vuelta a Espana: Szóste miejsce polskiego teamu na inaugurację,__label__1
Real Madryt remisuje przed własną publicznością,__label__1
Hat-trick Lewandowskiego! Pewny triumf Bayernu,__label__1
Ekstraklasa: Cracovia pokonała Arkę 3:1,__label__1
Polskim kibicom anulowali bilety na mecz Rangers-Legia. "Mecz wysokiego ryzyka",__label__1
"Wszystko dla osób które mają benzynę we krwi" Ruszył Verva Street Racing w Gdyni!,__label__1
MŚ w kajakarstwie: Srebrny medal dla Walczykiewicz,__label__1
Polska mistrzyni świata we wspinaczce z biletem na igrzyska. "Były łzy radość niedowierzanie",__label__1
?Rusza Vuelta a Espana. Co pokaże Rafał Majka?,__label__1
Śledź relacje z wyścigu Vuelta a Espana i zdobywaj rowerowe gadżety,__label__1
Ekstraklasa: Jagiellonia pokonała Wisłę,__label__1
ME siatkarek: Polki pokonały Słowenię!,__label__1
Egon Zimmermann nie żyje. Był mistrzem olimpijskim w narciarstwie alpejskim,__label__1
Magda Linette awansowała do finału turnieju w Nowym Jorku,__label__1
Tor F1 strefa rajdu Dakar pokazy drifftu. Rusza Verva Street Racing w Gdyni!,__label__1
Stenzel przed siatkarskim Euro: Damski flot to najgorsza rzecz,__label__1
Legia Warszawa zremisowała z Rangers FC,__label__1
Śmierć 25-letniej biegaczki. Zmarła podczas treningu,__label__1
Alagierska przed siatkarskim Euro: Najtrudniej będzie z Włoszkami,__label__1
Legia zagra wieczorem z Glasgow Rangers,__label__1
Poczta Polska wydała znaczek z Kazimierzem Deyną,__label__1
Mistrzostwa Europy siatkarek: Jacek Nawrocki podał skład biało-czerwonych,__label__1
Polskie siatkarki w akcji. Mieliśmy zaproszenia VIP na mecze mistrzostw Europy,__label__1
Piłkarska LE: Ostatnia przeszkoda przed Legią,__label__1
Stysiak: Potrzebujemy dobrze wystawionych sytuacyjnych piłek,__label__1
Polskie koszykarki mają nowego trenera,__label__1
Znamy szeroką kadrę siatkarzy na Puchar Świata w Japonii,__label__1
Nawrocki: Siatkarskie euro to najważniejszy turniej sezonu,__label__1
Robert Lewandowski zdobył kolejną nagrodę. Polak gwiazdą roku w Niemczech,__label__1
Norweg Arne Senstad nowym trenerem reprezentacji Polski piłkarek ręcznych,__label__1
Liga niemiecka: Robert Lewandowski w jedenastce "Kickera",__label__1
Coutinho oficjalnie wypożyczony do Bayernu,__label__1
Rośnie presja na Krzysztofie Piątku. Prasa pisze o "klątwie cyfry 9",__label__1
Piłkarska Ekstraklasa: Legia - Zagłębie 1:0,__label__1
Piłkarska Ekstraklasa: Piast wygrywa z Wisłą Płock,__label__1
Rafał Kuptel: Trzeba mieć pomysł na stworzenie drużyny trzeba ją sukcesywnie budować,__label__1
Stoch: Byłem zmobilizowany bo chciałem cieszyć jak najlepszym występem na skoczni którą uwielbiam,__label__1
Letnie GP w Zakopanem: Stoch wygrywa Kubacki drugi,__label__1
Jose Mourinho płacze podczas wywiadu. „Tęsknię za futbolem”,__label__1
Renato Sanches ukarany przez Bayern,__label__1
Wczoraj mistrzostwo dzisiaj awans na igrzyska. Sukces Aleksandry Mirosław,__label__1
Jagiellonia zakończyła złą passę. Białostoczanie wygrali z Górnikiem,__label__1
Katarzyna Solińska i Robert Faron mistrzami Polski w bigach wysokogórskich,__label__1
Letnia GP w skokach. Kubacki: Po pierwszej serii nie było różowo,__label__1
Letnia GP w skokach: Polska druga Japonia wygrała konkurs drużynowy,__label__1
Zimbabwe apeluje do FIFA o rozwiązanie swojej federacji piłkarskiej,__label__1
Polska dominatorka! Aleksandra Mirosław mistrzynią świata we wspinaczce na czas,__label__1
Miał ustawiać mecze swojej reprezentacji. Został dożywotnio zdyskwalifikowany,__label__1
Ngapeth oburzony sposobem organizacji turnieju w Polsce,__label__1
Bayern się wzmacnia. Lewandowski będzie miał nowych kolegów,__label__1
Tokio: Kolejna próba przedolimpijska skrócona przez złe warunki,__label__1
Norweski biegacz trenuje też w nocy. „Moi rywale o tej porze smacznie śpią”,__label__1
Nie żyje Felice Gimondi. Legendarny kolarz miał 76 lat,__label__1
Dwa gole Lewandowskiego na inaugurację sezonu,__label__1
143. bramka Pawła Brożka i pewne zwycięstwo Wisły z ŁKS-em,__label__1
Letnie GP w skokach: W konkursie drużynowym wystąpi komplet Polaków,__label__1
Bramkarz Liverpoolu może nie zagrać w meczu przez… kibica,__label__1
Doznał kontuzji w czasie meczu. W badaniu wykryto u niego tętniaka mózgu,__label__1
Plebiscyt UEFA na najlepszego zawodnika sezonu. Ronaldo Messi i Van Dijk w finałowej trójce,__label__1
?Triumf Kenijczyków w 25. Maratonie Solidarności,__label__1
Szymon Kural multimedalistą bilardowych mistrzostw Europy. "Wszystko zaczęło się 6 lat temu",__label__1
Liverpool zdobył Superpuchar UEFA,__label__1
Piłkarska LE: Awans Legii do ostatniej rundy eliminacji,__label__1
Legia spróbuje uniknąć blamażu polskiego futbolu,__label__1
Liverpool kontra Chelsea. Kto sięgnie po Superpuchar Europy?,__label__1
Sensacje w eliminacjach Ligi Mistrzów. Porto i Celtic poza rozgrywkami,__label__1
Rekordowe zainteresowanie 8. Biegiem Charytatywnym Fundacji Tesco,__label__1
Biegacze dzieciom – zbuduj Integracyjny Plac Zabaw razem z Silesia Marathon,__label__1
"To była fantastyczna zabawa". RMF 4RACING Team na Wolf Race,__label__1
Apel Lewandowskiego wysłuchany. Bayern ma nowego skrzydłowego,__label__1
Siatkarki szykują się do Euro. Wcześniej dwa sprawdziany,__label__1
MLS: Polak zrównał się z Waynem Rooneyem,__label__1
Wicemistrz świata zdobywca Ligi Mistrzów. Wesley Sneijder kończy karierę,__label__1
Piłkarska Ekstraklasa: Remis Lechii z Jagiellonią,__label__1
Passa Piasta trwa. Od roku nie przegrali w Gliwicach,__label__1
Trudny początek sezonu dla Neymara. Kibice go zwyzywali,__label__1
Chcą zdobyć zimą K2 ale najpierw ruszają na Lhotse,__label__1
Leon o początkach w kadrze: Czułem się okropnie,__label__1
Historyczne zwycięstwo polskich lekkoatletów!,__label__1
Drzyzga: Poświęciliśmy wszystko by zdobyć bilet do Tokio,__label__1
Letni PK w skokach: Murańka wygrał w Wiśle,__label__1
Polscy siatkarze awansowali na igrzyska olimpijskie Tokio 2020,__label__1
Andrzej Bargiel o wyprawie na Mount Everest: To ma być przygoda,__label__1
Siatkarze jadą na igrzyska. Pokonali Słowenię na zakończenie turnieju w Gdańsku,__label__1
Jeden set do igrzysk. Polacy zagrają dziś ze Słowenią,__label__1
Chce wystartować na igrzyskach w kajakarstwie. Trenuje go szkoleniowiec taekwondo,__label__1
Zawalił się dach na stadionie AZ Alkmaar. Wszystko przez silny wiatr,__label__1
Bieniek: Nie zepsujemy tego co sobie ciężko wywalczyliśmy,__label__1
ME w siatkówce plażowej: Wojtasik i Kociołek ze srebrnym medalem,__label__1
?Grzegorz Grzyb wygrywa Rajd Rzeszowski. Miko Marczyk nadal liderem RSMP,__label__1
Francja pokonana! Polscy siatkarze o krok od awansu na igrzyska,__label__1
Szefowa Williamsa o finansach teamu Kubicy: Za nami kilka dobrych lat,__label__1
Johaug nominowana do prestiżowej nagrody wywołuje kontrowersje,__label__1
Dziś poznamy zwycięzcę Rajdu Rzeszowskiego,__label__1
?Wygrywa doświadczenie. Grzegorz Grzyb liderem po pierwszym dniu Rajdu Rzeszowskiego,__label__1
Muzaj po meczu z Tunezją: To była próba naszej konsekwencji,__label__1
RMF4RT Gladiators radzą: Co robić żeby się chciało?,__label__1
Kwalifikacje do igrzysk. Polacy perfekcyjnie rozpoczęli turniej w Gdańsku,__label__1
Brazylijska prokuratura nie oskarży Neymara o gwałt,__label__1
Dobry występ Świątek w Toronto. Przegrała z wiceliderką rankingu,__label__1
Piłkarska LE: Remis Legii Warszawa z greckim Atromitos,__label__1
Tour de Pologne: Vingegaard wygrał w Kościelisku,__label__1
"Fatima próbowała ratować koleżankę". Dramatyczne okoliczności śmierci gwiazd kickboxingu,__label__1
Andrzej Bargiel ogłosił cel kolejnej wyprawy,__label__1
Konarski przed kwal. olimpijskimi: Trzeba wygrać tylko trzy i aż trzy mecze,__label__1
Atromitos trzecią przeszkodą Legii na drodze do Ligi Europy,__label__1
RMF4RT Gladiators radzą: Aktywność fizyczna to nie tylko fitness klub dwa razy w tygodniu,__label__1
Manchester City i Juventus Turyn wymienili się piłkarzami,__label__1
Kacper Wróblewski rusza po zdobycz punktową w Rajdzie Rzeszowskim,__label__1
28. Rajd Rzeszowski już jutro. Na starcie Grzyb i Bouffier,__label__1
Są wyniki sekcji zwłok Bjorga Lambrechta. Kolarz miał wypadek na trasie Tour de Pologne,__label__1
Dyrektor reprezentacji Polski o wypadku Lambrechta na TdP: Fatalny zbieg okoliczności,__label__1
Siatkarze rozpoczęli przygotowania do najważniejszych meczów sezonu,__label__1
Laurent Koscielny przeszedł z Arsenalu do Bordeaux,__label__1
Tour de Pologne: Kolarze oddali hołd Bjorgowi Lambrechtowi,__label__1
Letnia GP w skokach: Trzech Polaków wystąpi w Courchevel,__label__1
Jest śledztwo ws. śmierci Dawida Kosteckiego. Art. 151 KK czyli "namowa lub pomoc do samobójstwa",__label__1
Ruszyło śledztwo ws. śmierci na TdP. "Nic nie wskazuje żeby nieprawidłowości miały miejsce",__label__1
Belgia opłakuje Bjorga Lambrechta. "Był jednym z najlepszych nowego pokolenia",__label__1
Tragiczny wypadek na Tour de Pologne. Dziś przerwa w wyścigu,__label__1
Ekstraklasa: Wisła Kraków pokonała Górnika Zabrze,__label__1
Tragiczny wypadek na trasie Tour de Pologne. Bjorg Lambrecht nie żyje,__label__1
?Łukasz Byśkiniewicz: Marzę o podium Rajdowych Samochodowych Mistrzostw Polski,__label__1
Przed polskimi siatkarzami bój o Tokio. Mieliśmy dla Was bilety,__label__1
Trener Nawrocki: Pozostał żal że zabrakło szczęścia do awansu,__label__1
Polskie siatkarki na razie bez biletów do Tokio,__label__1
Ekstraklasa: Bezbramkowe remisy Legii i Piasta zwycięstwo Lechii,__label__1
Tour de Pologne: Triumf Mezgeca w świątyni sprintu,__label__1
Manchester City zdobywcą Tarczy Wspólnoty. Liverpool pokonany,__label__1
World Tour w siatkówce plażowej: 3. miejsce Bryla i Fijałka,__label__1
F1: Hamilton najlepszy na Hungaroringu. Kubica na 19. miejscu,__label__1
Therese Johaug lekkoatletyczną mistrzynią Norwegii w biegu na 10 km,__label__1
Lewandowski apeluje o wzmocnienie Bayernu. "Sami przegraliśmy",__label__1
Arkadiusz Milik w Manchesterze United? Transfer elementem większej układanki,__label__1
Ott Tanak wygrywa Rajd Finlandii. Polacy nie startowali,__label__1
Syn Michaela Schumachera odniósł pierwsze zwycięstwo w Formule 2,__label__1
Tour de Pologne wjeżdża na Śląsk,__label__1
Froome wraca do zdrowia. "Motywacją jest rywalizacja w Tour de France",__label__1
Adam Kownacki wygrał na punkty z Chrisem Arreolą,__label__1
Tour de Pologne: Zwycięstwo Ackermanna w pierwszym etapie,__label__1
F1: Verstappen wygrywa kwalifikacje na Węgrzech. Kubica ostatni,__label__1
Polacy zajęli 2. miejsce w memoriale Wagnera. Triumf Brazylii,__label__1
Lionel Messi zawieszony na trzy miesiące,__label__1
Tour de Pologne: 154 kolarzy wystartuje z Krakowa,__label__1
Formuła 1: Organizatorzy chcą zwiększyć liczbę wyścigów,__label__1
Tokio 2020: Polskie siatkarki wygrały z Portoryko 3:0,__label__1
Memoriał Wagnera. Vital Heynen: Nasz atak nie był dobry,__label__1
Pracownicy Ruchu Chorzów zakończyli strajk,__label__1
Nie żyje Dawid "Cygan" Kostecki. Pięściarz popełnił samobójstwo,__label__1
RMF4RT Gladiators radzą: Najważniejszy pierwszy krok...,__label__1
Piłkarska LE: Lechia odpadła w 2. rundzie eliminacji,__label__1
Piast Gliwice żegna się z piłkarską Ligą Europy,__label__1
Memoriał Wagnera. Drzyzga: Trzeciego seta przespaliśmy,__label__1
Piłkarska LE: Legia awansuje do 3. rundy eliminacji,__label__1
Memoriał Wagnera: Polscy siatkarze pokonali Serbów!,__label__1
Robert Kubica: Węgry są dla mnie prawie jak Grand Prix w domu,__label__1
Pat w negocjacjach Lewandowskiego z Bayernem. Czy Polak podpisze nowy kontrakt?,__label__1
Co dalej z Ruchem Chorzów? "Jestem zadowolony z przebiegu rozmów",__label__1
Ronaldo Messi i Salah wśród walczących o tytuł najlepszego piłkarza 2019,__label__1
Heynen o Memoriale Wagnera: To bardzo ważny turniej,__label__1
PKN ORLEN wspiera rozwój sportowych talentów,__label__1
Wisła Kraków ma nowego zawodnika. Grał w Primera Division,__label__1
Dawid Kopacz: W Polsce trenuje się tak samo jak w Niemczech,__label__1
"Jestem rozczarowana". Caster Semenya nie wystartuje w mistrzostwach świata,__label__1
Michał Przysiężny zakończył tenisową karierę,__label__1
?Marcin Wichary na campach w Radziejowie,__label__1
Heynen wybrał skład na Memoriał Wagnera. Bednorz i Kochanowski skreśleni przez selekcjonera,__label__1
?Turniej kwalifikacyjny siatkarek. Mieliśmy bilety na mecze we Wrocławiu,__label__1
Triathlonistka Ewa Komander: Faceci podczas zawodów nas podziwiają,__label__1
Nie żyje fińska narciarka Mona Lisa Nousiainen. Miała tylko 36 lat,__label__1
Nie ma dowodów na gwałt Neymara. Gwiazdor nie może jeszcze spać spokojnie,__label__1
Ekstraklasa: Pogoń Szczecin pokonał Arkę Gdynia 2:0,__label__1
W domu zawodnika Arsenalu znaleziono ciało,__label__1
Patrice Evra zakończył karierę piłkarską. "Przygotowuję się do zawodu trenera",__label__1
Zaskakująca rozmowa Kubicy ze swoim inżynierem. „Stary nie myśl o pozycji na torze”,__label__1
Kicker wybrał najlepszych graczy Bundesligi. Dalekie miejsce Lewandowskiego,__label__1
Joanna Wołosz: Malwina Smarzek jest naszą główną bronią,__label__1
Turniej WTA w Jurmale: Kawa przegrała w finale z Sevastovą,__label__1
Ekstraklasa: Śląsk zapewnił sobie zwycięstwo w ostatnich minutach,__label__1
Fenomenalny wynik! Michał Haratyk z rekordem Polski,__label__1
Ekstraklasa: Wisła remisuje z rezerwami Lechii,__label__1
Kolejna wygrana ekipy Heynena. Polska - Holandia 3:0,__label__1
Gerard Pique kupił klub piłkarski,__label__1
Grand Prix Niemiec: Kubica z najlepszym wynikiem w sezonie,__label__1
Nowe rekordy na MŚ w pływaniu,__label__1
Wyścig Górski w Limanowej: Za nami rywalizacja pełna niespodzianek,__label__1
Polscy juniorzy po Amp Futbol Camp. Można do nich dołączyć!,__label__1
Letnia GP w skokach: Karl Geiger wygrał w Hinterzarten,__label__1
Polska - Holandia 3:0 w meczu towarzyskim siatkarzy. Debiut Wilfredo Leona,__label__1
ŁKS Łódź pokonał na wyjeździe Cracovię 2:1,__label__1
Tour de France: Etap wygrał Nibali Bernal w żółtej koszulce,__label__1
Diet of Gladiators czyli o tym co jak i kiedy jeść,__label__1
Shayna Jack oskarżona o doping. "Nie brałam tej substancji świadomie",__label__1
Formuła 1: Leclerc najszybszy na treningu. Robert Kubica przedostatni,__label__1
Leszek Ojrzyński odszedł z Wisły Płock,__label__1
11. Wyścig Górski w Limanowej: Za nami pierwszy dzień zmagań!,__label__1
Na relaks po wielkich emocjach 11. Wyścigu Górskiego… Mieliśmy dla Was zaproszenia do Term Bukovina!,__label__1
Piłkarska Ekstraklasa: Efektowne zwycięstwo Kolejorza,__label__1
Ekstraklasa: Skromne zwycięstwo Górnika z Zagłębiem,__label__1
Tour de France: Przerwano 19. etap wyścigu z powodu gradobicia,__label__1
Mroczkowski: Nigdy nie lubię planować,__label__1
Legenda wraca do FC Barcelony. „Czekam na nowe wyzwania”,__label__1
Koniec "legendy bez końca"? Ruch Chorzów może zniknąć z piłkarskiej mapy kraju,__label__1
23-letni bokser zmarł w wyniku obrażeń odniesionych w walce,__label__1
Paweł Bochniewicz: Chciałbym żeby ekstraklasa szanowała naszych kibiców,__label__1
Oezil i Kolasinac zaatakowani przez uzbrojonych bandytów,__label__1
Wyścig Górski Limanowa: W weekend utrudnienia na drogach,__label__1
Piłkarska LE: Piast - FK Ryga 3:2,__label__1
Tour de France: Został pobity rekord prędkości,__label__1
Piłkarska LE: Lechia – Broendby 2:1,__label__1
11. Wyścig Górski Limanowa - Przełęcz pod Ostrą: Mieliśmy dla Was wejściówki VIP!,__label__1
Igrzyska w Tokio. Zaprezentowano medale pochodzą z recyklingu,__label__1
Krzysztof Piątek w ogniu krytyki,__label__1
11. Wyścig Górski Limanowa - Przełęcz pod Ostrą. Po pierwsze: bezpieczeństwo! [VADEMECUM KIBICA],__label__1
Patryk Małecki: Jestem ekspresywnym zawodnikiem i nie będę się wybielał że jest inaczej,__label__1
Fornalik przed el. LE: Musimy być bardziej skuteczni,__label__1
La Liga zablokuje transfer Griezmanna?,__label__1
Koniec oczekiwania. Siatkarski Messi może już grać dla Polski,__label__1
"Forbes": Real Madryt najbardziej wartościowym klubem piłkarskim,__label__1
Rosyjski bokser zmarł po walce. Dostał 260 ciosów,__label__1
Kuba Greguła ściga się od 7 lat. Właśnie zrobił prawo jazdy,__label__1
Tomiczek rusza na Baja Espana Aragon. Cel: Zwycięstwo wśród juniorów,__label__1
Sprawdzian przed startami sezonu: Mieliśmy dla Was zaproszenia VIP na mecze polskich siatkarzy!,__label__1
Bale na wylocie z Realu. Chiny kuszą go pieniędzmi,__label__1
Ból kręgosłupa? Nie jesteśmy stworzeni do siedzenia. Za mało się ruszamy,__label__1
Cristiano Ronaldo nie zostanie oskarżony o gwałt w Vegas,__label__1
Piłkarska Ekstraklasa: Wisła Płock - Górnik Zabrze 1:1,__label__1
115 najszybszych kierowców Europy będzie się ścigało w Limanowej,__label__1
Fińska policja przygotowana na przyjazd kibiców Legii,__label__1
Smarzek: Balonik się napompował,__label__1
Piłkarska LE: Poznaliśmy potencjalnych rywali Legii i Lechii,__label__1
Letnia GP w skokach: Kubacki drugi w Wiśle wygrał Zajc,__label__1
Jacek Nawrocki: Wiem że wiele osób przyczepia się do naszego stylu grania,__label__1
Artur Szpilka znokautowany w Londynie,__label__1
Manny Pacquiao najstarszym mistrzem świata WBA,__label__1
Ekstraklasa: Piast zremisował z Lechem,__label__1
Letnia GP w skokach - Polska wygrała drużynowy konkurs w Wiśle,__label__1
Ekstraklasa: Wisła Kraków przegrała ze Śląskiem Wrocław,__label__1
Ekstraklasa: Raków Częstochowa przegrał z Koroną Kielce,__label__1
PZPS chce ukarania Spiridonowa. Rosjanin broni swoich słów,__label__1
Probierz: Puchary możemy sobie tylko pooglądać w telewizji,__label__1
Barcelona będzie miała kłopoty? Chodzi o Griezmanna,__label__1
Arkadiusz Moryto: Musiałem odnaleźć się w nowych realiach. Ten rok dużo mi dał,__label__1
